Link|Title|File Size
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20Unabridged%20(MDX).rar|Chinese-English Dictionary Unabridged (MDX)|1,009.7 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20with%20Pinyin.7z|Chinese-English Dictionary with Pinyin|985 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Electrical%20Nouns.7z|Chinese-English Electrical Nouns|197 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Electronic%20Terms.7z|Chinese-English Electronic Terms|150 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Embryological%20Terms.7z|Chinese-English Embryological Terms|33 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Energy%20Dictionary.7z|Chinese-English Energy Dictionary|1.8 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Entomological%20Terms.7z|Chinese-English Entomological Terms|124 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Environmental%20Dictionary.7z|Chinese-English Environmental Dictionary|1.6 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Firefighting%20Dictionary.7z|Chinese-English Firefighting Dictionary|581 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Frequency%20Dictionary%20(MDX).zip|Chinese-English Frequency Dictionary (MDX)|6.8 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Genetics%20Terms.7z|Chinese-English Genetics Terms|49 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Geographical%20%D0%A2erms.7z|Chinese-English Geographical Тerms|37 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Geological%20Dictionary.7z|Chinese-English Geological Dictionary|3.6 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Geological%20Terms.7z|Chinese-English Geological Terms|100 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Highway%20Science%20and%20Technology%20Terms.7z|Chinese-English Highway Science and Technology Terms|129 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Histological%20Terms.7z|Chinese-English Histological Terms|49 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Idiom%20Dictionary%20%5BZH(T)-EN%5D%20(MDX).zip|Chinese-English Idiom Dictionary [ZH(T)-EN] (MDX)|66 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Law%20Dictionary.7z|Chinese-English Law Dictionary|1.7 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Lin%20Xue%20Nouns.7z|Chinese-English Lin Xue Nouns|61 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Marine%20Science%20Terms.7z|Chinese-English Marine Science Terms|42 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Mathematical%20Terms.7z|Chinese-English Mathematical Terms|223 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Mechanical%20Dictionary.7z|Chinese-English Mechanical Dictionary|5.1 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Mechanical%20Engineering%20Terms.7z|Chinese-English Mechanical Engineering Terms|186 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Mechanics%20Terms.7z|Chinese-English Mechanics Terms|69 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Medical%20Dictionary.7z|Chinese-English Medical Dictionary|4.2 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Medical%20Terminology.7z|Chinese-English Medical Terminology|132 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Metallurgical%20Terms.7z|Chinese-English Metallurgical Terms|135 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Microbiological%20Terms.7z|Chinese-English Microbiological Terms|39 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Nautical%20Science%20and%20Technology%20Terms.7z|Chinese-English Nautical Science and Technology Terms|134 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Navigation%20Dictionary.7z|Chinese-English Navigation Dictionary|3.3 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Nouns.7z|Chinese-English Nouns|57 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Nouns%20in%20Mechanics.7z|Chinese-English Nouns in Mechanics|62 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Paleontological%20Terms.7z|Chinese-English Paleontological Terms|36 KB
